"NAME";"ORIGINAL SIZE";"AFTER RESTRICTING TO DATASET";"STATUS"
"AMMONIUM_ION_METABOLIC_PROCESS (GO:0097164)";25;19;""
"AMMONIUM_TRANSMEMBRANE_TRANSPORT (GO:0072488)";11;NA;"Rejected!"
"AMPA_GLUTAMATE_RECEPTOR_CLUSTERING (GO:0097113)";11;NA;"Rejected!"
"AMPA_SELECTIVE_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY (GO:0098990)";5;NA;"Rejected!"
"AMP_BIOSYNTHETIC_PROCESS (GO:0006167)";13;NA;"Rejected!"
"AMP_CATABOLIC_PROCESS (GO:0006196)";5;NA;"Rejected!"
"AMP_METABOLIC_PROCESS (GO:0046033)";23;21;""
"AMP_SALVAGE (GO:0044209)";6;NA;"Rejected!"
"AMYLIN_RECEPTOR_SIGNALING_PATHWAY (GO:0097647)";6;NA;"Rejected!"
"AMYLOID_BETA_CLEARANCE (GO:0097242)";42;34;""
"AMYLOID_BETA_CLEARANCE_BY_CELLULAR_CATABOLIC_PROCESS (GO:0150094)";8;NA;"Rejected!"
"AMYLOID_BETA_CLEARANCE_BY_TRANSCYTOSIS (GO:0150093)";7;NA;"Rejected!"
"AMYLOID_BETA_FORMATION (GO:0034205)";60;41;""
"AMYLOID_BETA_METABOLIC_PROCESS (GO:0050435)";74;52;""
"AMYLOID_FIBRIL_FORMATION (GO:1990000)";45;37;""
"AMYLOID_PRECURSOR_PROTEIN_BIOSYNTHETIC_PROCESS (GO:0042983)";27;NA;"Rejected!"
"AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS (GO:0042987)";74;53;""
"AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS (GO:0042982)";102;70;""
"ANAGEN (GO:0042640)";5;NA;"Rejected!"
"ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS (GO:0031145)";24;23;""
"ANATOMICAL_STRUCTURE_ARRANGEMENT (GO:0048532)";18;17;""
"ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS (GO:0048646)";1303;NA;"Rejected!"
"ANATOMICAL_STRUCTURE_MATURATION (GO:0071695)";284;244;""
"ANATOMICAL_STRUCTURE_REGRESSION (GO:0060033)";16;NA;"Rejected!"
"ANDROGEN_BIOSYNTHETIC_PROCESS (GO:0006702)";10;NA;"Rejected!"
"ANDROGEN_CATABOLIC_PROCESS (GO:0006710)";5;NA;"Rejected!"
"ANDROGEN_METABOLIC_PROCESS (GO:0008209)";30;26;""
"ANDROGEN_RECEPTOR_SIGNALING_PATHWAY (GO:0030521)";52;46;""
